CodMunicipio;Municipi;CasosPCR+;IncidènciaacumuladaPCR+;CasosPCR+14dies;IncidènciaacumuladaPCR+14;Defuncions;Taxadedefunció
46001;Ademuz;292;28158.15;26;2507.23;1;96.43
46002;Ador;631;36473.99;265;15317.92;4;231.21
3001;Adsubia;31;5073.65;4;654.66;1;163.67
3002;Agost;773;16124.32;281;5861.49;11;229.45
3003;Agres;60;10638.3;18;3191.49;1;177.3
46004;Agullent;224;9380.23;59;2470.69;3;125.63
46042;AielodeMalferit;641;13859.46;119;2572.97;5;108.11
46043;AielodeRugat;9;5625.0;3;1875.0;0;0.0
3004;Aigües;86;8722.11;42;4259.63;0;0.0
46005;Alaquàs;5168;17394.23;1339;4506.75;59;198.58
46006;Albaida;1323;22370.65;330;5579.98;16;270.54
46007;Albal;2394;14441.7;468;2823.19;12;72.39
46008;AlbalatdelaRibera;467;14040.89;128;3848.47;3;90.2
46009;AlbalatdelsSorells;555;13751.24;122;3022.79;2;49.55
46010;AlbalatdelsTarongers;124;10264.9;15;1241.72;2;165.56
3005;Albatera;2058;16498.32;431;3455.19;14;112.23
46011;Alberic;2008;19089.27;371;3526.95;11;104.57
12003;Albocàsser;363;29584.35;151;12306.44;2;163.0
46012;Alborache;107;8706.27;27;2196.91;10;813.67
46013;Alboraya;4059;16405.97;418;1689.5;45;181.88
46014;Albuixech;539;12984.82;49;1180.44;10;240.91
3006;Alcalalí;54;4147.47;3;230.41;0;0.0
12004;AlcalàdeXivert;1244;18740.58;330;4971.38;2;30.13
3007;AlcocerdePlanes;19;8407.08;8;3539.82;1;442.48
3008;Alcoleja;29;16384.18;2;1129.94;0;0.0
12005;Alcora(l');2135;20495.34;595;5711.82;16;153.6
3009;Alcoy/Alcoi;12368;20837.69;2975;5012.3;237;399.3
46018;Alcublas;24;3927.99;10;1636.66;0;0.0
12006;AlcudiadeVeo;13;6914.89;2;1063.83;1;531.91
46016;AlcànteradeXúquer;142;10589.11;33;2460.85;3;223.71
46015;Alcàsser;1663;16310.32;308;3020.79;19;186.35
46019;Alcúdia(l');2133;17617.91;366;3023.04;17;140.41
46020;AlcúdiadeCrespins(l');1022;19988.27;225;4400.55;4;78.23
46021;Aldaia;5538;17196.62;1070;3322.57;44;136.63
46022;Alfafar;3809;17803.23;507;2369.71;34;158.92
3010;Alfafara;60;14778.33;4;985.22;0;0.0
46024;AlfaradelaBaronía;78;13708.26;17;2987.7;3;527.24
46025;AlfaradelPatriarca;246;7495.43;49;1492.99;2;60.94
46026;Alfarp;149;9484.4;27;1718.65;3;190.96
46027;Alfarrasí;203;16652.99;48;3937.65;1;82.03
46023;Alfauir;35;7795.1;14;3118.04;0;0.0
12007;Alfondeguilla;86;9976.8;28;3248.26;0;0.0
3011;AlfàsdelPi(l');2906;14499.55;523;2609.52;29;144.7
46028;AlgardePalancia;40;8146.64;7;1425.66;0;0.0
46029;Algemesí;4891;17830.84;514;1873.86;55;200.51
46030;AlgimiadeAlfara;122;11585.94;21;1994.3;8;759.73
