CodMunicipio;Municipi;CasosPCR+;IncidènciaacumuladaPCR+;CasosPCR+14dies;IncidènciaacumuladaPCR+14;Defuncions;Taxadedefunció
46001;Ademuz;439;42333.65;59;5689.49;2;192.86
46002;Ador;858;49595.38;148;8554.91;5;289.02
3001;Adsubia;34;5564.65;4;654.66;1;163.67
3002;Agost;981;20463.08;160;3337.51;11;229.45
3003;Agres;68;12056.74;7;1241.13;1;177.3
46004;Agullent;313;13107.2;79;3308.21;3;125.63
46042;AielodeMalferit;864;18681.08;209;4518.92;6;129.73
46043;AielodeRugat;10;6250.0;1;625.0;0;0.0
3004;Aigües;106;10750.51;17;1724.14;0;0.0
46005;Alaquàs;6777;22809.73;1378;4638.01;60;201.95
46006;Albaida;1731;29269.53;350;5918.16;16;270.54
46007;Albal;3359;20263.02;745;4494.18;12;72.39
46008;AlbalatdelaRibera;610;18340.35;142;4269.39;3;90.2
46009;AlbalatdelsSorells;769;19053.52;202;5004.96;2;49.55
46010;AlbalatdelsTarongers;159;13162.25;28;2317.88;2;165.56
3005;Albatera;2605;20883.44;366;2934.1;14;112.23
46011;Alberic;2874;27321.99;688;6540.55;11;104.57
12003;Albocàsser;504;41075.79;72;5867.97;3;244.5
46012;Alborache;171;13913.75;46;3742.88;10;813.67
46013;Alboraya;5511;22274.77;903;3649.81;45;181.88
46014;Albuixech;741;17851.12;143;3444.95;10;240.91
3006;Alcalalí;66;5069.12;12;921.66;0;0.0
12004;AlcalàdeXivert;1648;24826.76;327;4926.18;2;30.13
3007;AlcocerdePlanes;21;9292.04;2;884.96;1;442.48
3008;Alcoleja;40;22598.87;10;5649.72;0;0.0
12005;Alcora(l');2759;26485.55;502;4819.05;16;153.6
3009;Alcoy/Alcoi;15923;26827.17;2902;4889.31;240;404.35
46018;Alcublas;67;10965.63;14;2291.33;0;0.0
12006;AlcudiadeVeo;19;10106.38;4;2127.66;1;531.91
46016;AlcànteradeXúquer;175;13049.96;22;1640.57;3;223.71
46015;Alcàsser;2272;22283.25;449;4403.69;20;196.16
46019;Alcúdia(l');2917;24093.5;677;5591.81;18;148.67
46020;AlcúdiadeCrespins(l');1312;25660.08;210;4107.18;4;78.23
46021;Aldaia;7346;22810.83;1318;4092.66;45;139.73
46022;Alfafar;4758;22238.84;712;3327.88;35;163.59
3010;Alfafara;69;16995.07;8;1970.44;0;0.0
46024;AlfaradelaBaronía;88;15465.73;9;1581.72;3;527.24
46025;AlfaradelPatriarca;335;10207.19;81;2468.01;2;60.94
46026;Alfarp;211;13430.94;44;2800.76;3;190.96
46027;Alfarrasí;256;21000.82;45;3691.55;1;82.03
46023;Alfauir;46;10244.99;11;2449.89;0;0.0
12007;Alfondeguilla;106;12296.98;17;1972.16;0;0.0
3011;AlfàsdelPi(l');3577;17847.52;476;2375.01;29;144.7
46028;AlgardePalancia;47;9572.3;5;1018.33;0;0.0
46029;Algemesí;6276;22880.06;982;3580.02;56;204.16
46030;AlgimiadeAlfara;136;12915.48;13;1234.57;8;759.73
12008;AlgimiadeAlmonacid;28;10687.02;9;3435.11;0;0.0
46031;Alginet;3137;22687.5;587;4245.32;10;72.32
3012;Algorfa;368;11776.0;56;1792.0;2;64.0
3013;Algueña;185;13951.73;46;3469.08;0;0.0
3014;Alicante/Alacant;70999;21037.86;11634;3447.29;548;162.38
12009;Almazora/Almassora;6273;23457.48;1398;5227.73;25;93.49
12010;Almedíjar;14;5737.7;4;1639.34;0;0.0
12011;Almenara;1182;19408.87;175;2873.56;15;246.31
46033;Almiserà;4;1509.43;0;0.0;0;0.0
46034;Almoines;451;18207.51;100;4037.14;1;40.37
3015;Almoradí;4872;22972.46;866;4083.36;32;150.89
3016;Almudaina;2;1834.86;0;0.0;0;0.0
46035;Almussafes;1701;18944.2;412;4588.48;6;66.82
46032;Almàssera;1904;25598.28;341;4584.57;9;121.0
46036;Alpuente;47;7401.57;9;1417.32;0;0.0
3017;Alqueriad'Asnar(l');83;16835.7;10;2028.4;1;202.84
46037;AlqueriadelaComtessa(l');300;20053.48;56;3743.32;2;133.69
12901;AlqueríasdelNiñoPerdido;1012;22670.25;215;4816.31;10;224.01
3018;Altea;4395;19483.11;698;3094.25;39;172.89
12012;Altura;586;16273.26;140;3887.81;2;55.54
46017;Alzira;8848;19689.35;1519;3380.21;63;140.19
46038;Andilla;6;1948.05;1;324.68;0;0.0
46039;Anna;684;26156.79;98;3747.61;22;841.3
46040;Antella;132;11408.82;31;2679.34;5;432.15
46041;ArasdelosOlmos;29;8077.99;7;1949.86;0;0.0
12013;Arañuel;1;662.25;0;0.0;0;0.0
12014;AresdelMaestrat;5;2717.39;0;0.0;0;0.0
12015;Argelita;3;2380.95;1;793.65;0;0.0
12016;Artana;744;38056.27;195;9974.42;1;51.15
3019;Aspe;4450;21390.12;865;4157.85;21;100.94
46003;Atzenetad'Albaida;218;18760.76;46;3958.69;1;86.06
12001;AtzenetadelMaestrat;342;26226.99;65;4984.66;3;230.06
46044;Ayora;1651;31251.18;274;5186.45;12;227.14
12017;Ayódar;32;20915.03;6;3921.57;0;0.0
12018;Azuébar;46;14838.71;7;2258.06;1;322.58
12002;Aín;5;4065.04;0;0.0;0;0.0
3020;Balones;20;15625.0;2;1562.5;0;0.0
3021;BanyeresdeMariola;2309;32567.0;306;4315.94;19;267.98
12020;Barracas;34;20238.1;3;1785.71;1;595.24
46046;Barx;256;19646.97;44;3376.82;14;1074.44
46045;Barxeta;364;22950.82;57;3593.95;3;189.16
12022;Bejís;25;6738.54;3;808.63;0;0.0
46048;Bellreguard;2023;43806.84;361;7817.24;17;368.12
46049;Bellús;22;7357.86;2;668.9;0;0.0
12024;Benafer;5;3048.78;0;0.0;0;0.0
12025;Benafigos;2;1449.28;0;0.0;0;0.0
46051;Benaguasil;2507;22272.57;512;4548.69;11;97.73
46050;Benagéber;28;15555.56;5;2777.78;0;0.0
12026;Benasal;150;14111.01;13;1222.95;3;282.22
3022;Benasau;12;7692.31;6;3846.15;0;0.0
46052;Benavites;100;15673.98;7;1097.18;2;313.48
3023;Beneixama;353;20887.57;101;5976.33;2;118.34
46053;Beneixida;55;8771.93;9;1435.41;0;0.0
3024;Benejúzar;1130;20791.17;203;3735.05;11;202.39
46054;Benetússer;3859;25726.67;817;5446.67;27;180.0
3025;Benferri;274;13944.02;50;2544.53;3;152.67
3026;Beniarbeig;171;7920.33;27;1250.58;0;0.0
3027;Beniardá;4;2000.0;0;0.0;0;0.0
46055;Beniarjó;449;25410.3;113;6395.02;2;113.19
3028;Beniarrés;234;21292.08;21;1910.83;2;181.98
46056;Beniatjar;47;21461.19;22;10045.66;1;456.62
12027;Benicarló;6675;24394.26;1314;4802.11;45;164.46
12028;Benicasim/Benicàssim;4880;26573.73;864;4704.86;20;108.91
46057;Benicolet;109;18989.55;7;1219.51;2;348.43
46904;BeniculldeXúquer;116;11068.7;19;1812.98;0;0.0
3030;Benidoleig;67;6215.21;13;1205.94;0;0.0
3031;Benidorm;15420;21887.86;1749;2482.61;196;278.21
46059;BenifairódelaValldigna;246;15789.47;48;3080.87;0;0.0
46058;BenifairódelesValls;353;15951.2;80;3615.0;2;90.38
46060;Benifaió;2923;24380.68;354;2952.71;26;216.87
3032;Benifallim;10;9615.38;4;3846.15;0;0.0
3033;Benifato;9;6617.65;1;735.29;0;0.0
46061;Beniflá;2;434.78;0;0.0;0;0.0
3029;Benigembla;41;9255.08;6;1354.4;0;0.0
46062;Benigánim;2117;36632.64;251;4343.31;15;259.56
3034;Benijófar;493;14971.15;73;2216.82;4;121.47
3035;Benilloba;211;29063.36;30;4132.23;1;137.74
3036;Benillup;8;8000.0;0;0.0;0;0.0
3037;Benimantell;139;27967.81;29;5835.01;3;603.62
3038;Benimarfull;32;8080.81;4;1010.1;0;0.0
3039;Benimassot;7;6796.12;0;0.0;0;0.0
3040;Benimeli;33;7692.31;2;466.2;0;0.0
46063;Benimodo;205;9022.89;43;1892.61;2;88.03
46064;Benimuslem;54;8095.95;17;2548.73;0;0.0
46065;Beniparrell;397;19702.23;80;3970.22;2;99.26
46066;Benirredrà;564;36270.1;92;5916.4;17;1093.25
46067;Benisanó;404;17634.22;67;2924.49;1;43.65
3041;Benissa;2819;24973.42;635;5625.44;30;265.77
46068;Benissoda;55;12731.48;12;2777.78;0;0.0
46069;Benisuera;22;11891.89;4;2162.16;0;0.0
3042;Benitachell/PobleNoudeBenitatxell(el);300;6738.54;64;1437.56;4;89.85
12029;Benlloch;192;18320.61;31;2958.02;2;190.84
12021;Betxí;1468;26130.3;282;5019.58;1;17.8
3043;Biar;1135;31053.35;156;4268.13;7;191.52
46071;Bicorp;91;17202.27;13;2457.47;0;0.0
3044;Bigastro;1473;21320.02;259;3748.73;10;144.74
46072;Bocairent;810;19555.77;124;2993.72;7;169.0
46073;Bolbaite;303;22885.2;43;3247.73;4;302.11
3045;Bolulla;21;5035.97;2;479.62;0;0.0
46074;BonrepòsiMirambell;757;20251.47;196;5243.45;4;107.01
12032;Borriana/Burriana;8456;24124.16;2079;5931.19;62;176.88
12031;Borriol;1345;24921.25;346;6410.97;7;129.7
46075;Bufali;7;4487.18;5;3205.13;0;0.0
46076;Bugarra;110;14884.98;23;3112.31;0;0.0
46078;Burjassot;8862;22939.53;1669;4320.25;50;129.43
3046;Busot;286;9300.81;67;2178.86;1;32.52
46077;Buñol;2618;27563.7;526;5538.01;17;178.99
46047;Bèlgida;80;11782.03;22;3240.06;3;441.83
46070;Bétera;6094;24768.33;1071;4352.95;45;182.9
12033;Cabanes;422;14170.58;127;4264.61;19;638.01
46079;Calles;36;10140.85;8;2253.52;1;281.69
3048;Callosad'EnSarrià;1803;23969.69;355;4719.49;19;252.59
3049;CallosadeSegura;4271;22329.69;824;4308.05;25;130.71
3047;Calp;4450;19077.42;715;3065.25;43;184.34
3050;Campello(el);5918;20456.27;992;3428.97;85;293.81
3051;CampodeMirra/CampdeMirra(el);2;479.62;0;0.0;0;0.0
46080;Camporrobles;234;19532.55;24;2003.34;0;0.0
46081;Canals;3430;25377.33;699;5171.65;15;110.98
46082;Canetd'EnBerenguer;889;13141.17;121;1788.62;23;339.99
12036;CanetloRoig;93;13757.4;21;3106.51;0;0.0
46083;Carcaixent;4579;22406.54;1150;5627.32;37;181.05
46085;Carlet;3840;24396.44;638;4053.37;26;165.18
46086;Carrícola;11;11111.11;3;3030.3;0;0.0
46087;CasasAltas;11;8396.95;4;3053.44;1;763.36
46088;CasasBajas;19;11656.44;7;4294.48;0;0.0
46089;Casinos;284;10215.83;50;1798.56;3;107.91
3053;Castalla;2452;23439.44;526;5028.2;26;248.54
12037;CastelldeCabres;0;0.0;0;0.0;0;0.0
3054;CastelldeCastells;38;8695.65;8;1830.66;1;228.83
3075;CastelldeGuadalest(el);0;0.0;0;0.0;0;0.0
12038;Castellfort;5;2793.3;2;1117.32;0;0.0
12039;Castellnovo;94;10239.65;22;2396.51;1;108.93
46091;CastellonetdelaConquesta;8;5673.76;0;0.0;1;709.22
46257;Castelló;1981;28083.36;399;5656.37;8;113.41
46090;CastellódeRugat;805;35030.46;183;7963.45;0;0.0
12040;CastellóndelaPlana/CastellódelaPlana;40238;23090.25;8497;4875.94;278;159.53
46092;Castielfabib;17;5519.48;0;0.0;0;0.0
12041;CastillodeVillamalefa;19;18811.88;7;6930.69;0;0.0
46093;Catadau;565;20149.79;148;5278.17;5;178.32
46094;Catarroja;6346;22182.61;1432;5005.59;40;139.82
3055;Catral;1146;12879.3;174;1955.5;9;101.15
12042;Catí;82;11484.59;9;1260.5;2;280.11
46095;CaudetedelasFuentes;183;25738.4;20;2812.94;3;421.94
12043;Caudiel;52;7890.74;7;1062.22;4;606.98
3052;Cañada;265;21937.09;39;3228.48;2;165.56
46096;Cerdà;13;3927.49;0;0.0;0;0.0
12044;CerveradelMaestre;59;10592.46;20;3590.66;0;0.0
46107;Chella;745;30137.54;86;3478.96;6;242.72
46106;Chelva;491;32070.54;84;5486.61;2;130.63
46108;Chera;97;20682.3;18;3837.95;0;0.0
12052;Chert/Xert;87;12645.35;12;1744.19;2;290.7
46109;Cheste;2315;26502.58;487;5575.27;20;228.96
12053;Chilches/Xilxes;329;12122.33;76;2800.29;1;36.85
46111;Chiva;2989;19391.46;424;2750.75;28;181.65
12055;Chodos/Xodos;1;943.4;0;0.0;0;0.0
46112;Chulilla;79;11933.53;20;3021.15;1;151.06
12056;Chóvar;32;11111.11;13;4513.89;0;0.0
12045;Cinctorres;113;28250.0;26;6500.0;2;500.0
12046;Cirat;18;8737.86;4;1941.75;0;0.0
3056;Cocentaina;2426;21059.03;542;4704.86;36;312.5
46097;Cofrentes;250;22261.8;37;3294.75;3;267.14
3057;Confrides;0;0.0;0;0.0;0;0.0
46098;Corbera;433;14022.02;76;2461.14;5;161.92
12048;CortesdeArenoso;18;6000.0;8;2666.67;0;0.0
46099;CortesdePallás;108;14007.78;18;2334.63;1;129.7
12049;Costur;32;6177.61;15;2895.75;1;193.05
46100;Cotes;50;15015.02;10;3003.0;0;0.0
12050;CovesdeVinromà(les);333;18438.54;78;4318.94;1;55.37
3058;Cox;1140;15434.61;140;1895.48;14;189.55
3059;Crevillent;5080;17199.35;866;2932.02;37;125.27
12051;Culla;34;7068.61;9;1871.1;0;0.0
46105;Cullera;4363;19373.03;807;3583.32;39;173.17
12034;Càlig;253;12901.58;68;3467.62;1;50.99
46084;Càrcer;806;44116.04;90;4926.11;7;383.14
46113;Daimús;830;25969.96;176;5506.88;31;969.96
3061;DayaNueva;332;19157.53;27;1557.99;5;288.52
3062;DayaVieja;48;6566.35;3;410.4;1;136.8
3064;Dolores;2300;30540.43;377;5005.98;14;185.9
46114;Domeño;59;8766.72;17;2526.0;1;148.59
46115;DosAguas;56;17125.38;18;5504.59;1;305.81
3063;Dénia;9105;21259.95;1559;3640.23;45;105.07
3065;Elche/Elx;56755;24175.24;9915;4223.37;305;129.92
3066;Elda;13632;25811.83;2393;4531.08;123;232.9
46116;Eliana(l');5341;29087.25;1232;6709.51;37;201.5
46117;Emperador;68;9883.72;9;1308.14;0;0.0
46118;Enguera;1104;23110.74;137;2867.91;5;104.67
12057;Eslida;80;11034.48;8;1103.45;0;0.0
12058;Espadilla;8;11594.2;1;1449.28;0;0.0
46120;Estivella;551;38237.34;167;11589.17;6;416.38
46121;Estubeny;8;6400.0;2;1600.0;0;0.0
3067;Facheca;7;6542.06;2;1869.16;0;0.0
3068;Famorca;2;4444.44;0;0.0;0;0.0
12059;Fanzara;31;11355.31;4;1465.2;0;0.0
46122;Faura;827;23276.1;168;4728.4;3;84.44
46123;Favara;433;17292.33;71;2835.46;6;239.62
12060;Figueroles;39;7456.98;14;2676.86;0;0.0
3069;Finestrat;908;12783.33;184;2590.45;5;70.39
46126;Foios;2041;27388.62;460;6172.84;7;93.93
3077;FondódelesNeus(el)/HondóndelasNieves;225;8633.92;67;2570.99;1;38.37
46127;Fontd'EnCarròs(la);712;18845.95;176;4658.55;4;105.88
46128;FontdelaFiguera(la);535;26393.69;123;6068.08;1;49.33
46124;FontanarsdelsAlforins;227;23670.49;26;2711.16;2;208.55
12061;Forcall;224;49122.81;53;11622.81;3;657.89
3070;FormenteradelSegura;626;14667.29;130;3045.92;9;210.87
46125;Fortaleny;139;13627.45;25;2450.98;3;294.12
12063;FuentelaReina;3;5882.35;0;0.0;0;0.0
46129;Fuenterrobles;163;23487.03;35;5043.23;1;144.09
12064;FuentesdeAyódar;1;1123.6;0;0.0;0;0.0
3072;Gaianes;55;11482.25;10;2087.68;0;0.0
12065;Gaibiel;27;14917.13;3;1657.46;0;0.0
46131;Gandia;17435;23001.93;3157;4165.02;77;101.59
3071;GatadeGorgos;1251;20038.44;266;4260.77;3;48.05
46130;Gavarda;127;12188.1;23;2207.29;0;0.0
12067;Geldo;71;11216.43;26;4107.42;1;157.98
46132;Genovés;692;24910.01;125;4499.64;1;36.0
46133;Gestalgar;81;14781.02;15;2737.23;0;0.0
46134;Gilet;383;11251.47;61;1792.01;2;58.75
46135;Godella;3856;29365.62;729;5551.75;17;129.46
46136;Godelleta;306;8537.95;79;2204.24;2;55.8
3073;Gorga;38;15767.63;5;2074.69;0;0.0
46137;GranjadelaCostera(la);28;9491.53;6;2033.9;0;0.0
3074;GranjadeRocamora;425;16402.93;55;2122.73;3;115.79
