CodMunicipio;Municipi;CasosPCR+;IncidènciaacumuladaPCR+;CasosPCR+14dies;IncidènciaacumuladaPCR+14;Defuncions;Taxadedefunció
46001;Ademuz;280;27000.96;26;2507.23;1;96.43
46002;Ador;591;34161.85;263;15202.31;4;231.21
3001;Adsubia;31;5073.65;5;818.33;1;163.67
3002;Agost;681;14205.26;215;4484.77;11;229.45
3003;Agres;59;10460.99;17;3014.18;1;177.3
46004;Agullent;206;8626.47;45;1884.42;3;125.63
46042;AielodeMalferit;615;13297.3;106;2291.89;5;108.11
46043;AielodeRugat;7;4375.0;1;625.0;0;0.0
3004;Aigües;78;7910.75;35;3549.7;0;0.0
46005;Alaquàs;4709;15849.35;1138;3830.23;59;198.58
46006;Albaida;1216;20561.38;270;4565.44;16;270.54
46007;Albal;2233;13470.47;423;2551.73;12;72.39
46008;AlbalatdelaRibera;433;13018.64;98;2946.48;3;90.2
46009;AlbalatdelsSorells;510;12636.27;98;2428.15;2;49.55
46010;AlbalatdelsTarongers;122;10099.34;14;1158.94;2;165.56
3005;Albatera;1979;15865.0;433;3471.22;14;112.23
46011;Alberic;1925;18300.22;369;3507.94;11;104.57
12003;Albocàsser;330;26894.87;123;10024.45;2;163.0
46012;Alborache;98;7973.96;24;1952.81;10;813.67
46013;Alboraya;3947;15953.28;472;1907.76;45;181.88
46014;Albuixech;525;12647.55;44;1059.99;10;240.91
3006;Alcalalí;54;4147.47;5;384.02;0;0.0
12004;AlcalàdeXivert;1170;17625.79;308;4639.95;2;30.13
3007;AlcocerdePlanes;19;8407.08;8;3539.82;1;442.48
3008;Alcoleja;28;15819.21;1;564.97;0;0.0
12005;Alcora(l');1898;18220.22;486;4665.45;16;153.6
3009;Alcoy/Alcoi;11671;19663.38;2796;4710.72;237;399.3
46018;Alcublas;20;3273.32;8;1309.33;0;0.0
12006;AlcudiadeVeo;13;6914.89;3;1595.74;1;531.91
46016;AlcànteradeXúquer;130;9694.26;24;1789.71;3;223.71
46015;Alcàsser;1568;15378.58;258;2530.4;19;186.35
46019;Alcúdia(l');1994;16469.81;295;2436.61;17;140.41
46020;AlcúdiadeCrespins(l');926;18110.7;168;3285.74;4;78.23
