CodMunicipio;Municipi;CasosPCR+;IncidènciaacumuladaPCR+;CasosPCR+14dies;IncidènciaacumuladaPCR+14;Defuncions;Taxadedefunció
46001;Ademuz;334;32208.29;29;2796.53;1;96.43
46002;Ador;731;42254.34;296;17109.83;4;231.21
3001;Adsubia;32;5237.32;4;654.66;1;163.67
3002;Agost;879;18335.42;300;6257.82;11;229.45
3003;Agres;62;10992.91;15;2659.57;1;177.3
46004;Agullent;253;10594.64;67;2805.7;3;125.63
46042;AielodeMalferit;709;15329.73;152;3286.49;6;129.73
46043;AielodeRugat;9;5625.0;2;1250.0;0;0.0
3004;Aigües;91;9229.21;27;2738.34;0;0.0
46005;Alaquàs;5468;18403.96;1231;4143.25;60;201.95
46006;Albaida;1435;24264.46;375;6340.89;16;270.54
46007;Albal;2644;15949.81;505;3046.39;12;72.39
46008;AlbalatdelaRibera;502;15093.21;119;3577.87;3;90.2
46009;AlbalatdelsSorells;607;15039.64;134;3320.12;2;49.55
46010;AlbalatdelsTarongers;131;10844.37;11;910.6;2;165.56
3005;Albatera;2133;17099.57;326;2613.44;14;112.23
46011;Alberic;2222;21123.68;417;3964.26;11;104.57
12003;Albocàsser;392;31947.84;170;13854.93;3;244.5
46012;Alborache;112;9113.1;21;1708.71;10;813.67
46013;Alboraya;4469;18063.13;474;1915.85;45;181.88
46014;Albuixech;592;14261.62;54;1300.89;10;240.91
3006;Alcalalí;57;4377.88;5;384.02;0;0.0
12004;AlcalàdeXivert;1380;20789.39;360;5423.32;2;30.13
3007;AlcocerdePlanes;20;8849.56;4;1769.91;1;442.48
3008;Alcoleja;33;18644.07;5;2824.86;0;0.0
12005;Alcora(l');2299;22069.69;579;5558.22;16;153.6
3009;Alcoy/Alcoi;13351;22493.85;3054;5145.4;238;400.98
46018;Alcublas;33;5400.98;10;1636.66;0;0.0
12006;AlcudiadeVeo;15;7978.72;2;1063.83;1;531.91
46016;AlcànteradeXúquer;155;11558.54;38;2833.71;3;223.71
46015;Alcàsser;1775;17408.79;327;3207.14;19;186.35
46019;Alcúdia(l');2400;19823.24;487;4022.47;18;148.67
46020;AlcúdiadeCrespins(l');1119;21885.39;249;4869.94;4;78.23
46021;Aldaia;5858;18190.29;963;2990.31;45;139.73
46022;Alfafar;3966;18537.04;479;2238.84;34;158.92
3010;Alfafara;64;15763.55;7;1724.14;0;0.0
46024;AlfaradelaBaronía;80;14059.75;6;1054.48;3;527.24
46025;AlfaradelPatriarca;256;7800.12;45;1371.12;2;60.94
46026;Alfarp;153;9739.02;23;1464.04;3;190.96
46027;Alfarrasí;219;17965.55;47;3855.62;1;82.03
46023;Alfauir;35;7795.1;11;2449.89;0;0.0
12007;Alfondeguilla;94;10904.87;36;4176.33;0;0.0
3011;AlfàsdelPi(l');3118;15557.33;538;2684.36;29;144.7
46028;AlgardePalancia;41;8350.31;3;611.0;0;0.0
46029;Algemesí;5069;18479.77;471;1717.1;56;204.16
46030;AlgimiadeAlfara;124;11775.88;7;664.77;8;759.73
12008;AlgimiadeAlmonacid;16;6106.87;4;1526.72;0;0.0
46031;Alginet;2521;18232.44;435;3146.02;10;72.32
3012;Algorfa;295;9440.0;47;1504.0;2;64.0
3013;Algueña;148;11161.39;31;2337.86;0;0.0
3014;Alicante/Alacant;61344;18176.97;13016;3856.8;538;159.42
12009;Almazora/Almassora;5048;18876.67;1188;4442.45;23;86.01
12010;Almedíjar;11;4508.2;1;409.84;0;0.0
12011;Almenara;985;16174.06;111;1822.66;15;246.31
46033;Almiserà;4;1509.43;0;0.0;0;0.0
46034;Almoines;367;14816.31;87;3512.31;1;40.37
3015;Almoradí;3913;18450.58;572;2697.1;31;146.17
3016;Almudaina;2;1834.86;0;0.0;0;0.0
46035;Almussafes;1286;14322.31;230;2561.53;6;66.82
46032;Almàssera;1542;20731.38;205;2756.12;9;121.0
46036;Alpuente;28;4409.45;1;157.48;0;0.0
3017;Alqueriad'Asnar(l');73;14807.3;10;2028.4;1;202.84
46037;AlqueriadelaComtessa(l');255;17045.45;72;4812.83;2;133.69
12901;AlqueríasdelNiñoPerdido;836;18727.6;238;5331.54;10;224.01
3018;Altea;3651;16184.95;706;3129.71;38;168.45
12012;Altura;443;12302.14;68;1888.36;2;55.54
46017;Alzira;7109;15819.57;899;2000.53;61;135.74
46038;Andilla;5;1623.38;3;974.03;0;0.0
46039;Anna;614;23479.92;146;5583.17;22;841.3
46040;Antella;97;8383.75;8;691.44;5;432.15
46041;ArasdelosOlmos;23;6406.69;10;2785.52;0;0.0
12013;Arañuel;1;662.25;0;0.0;0;0.0
12014;AresdelMaestrat;5;2717.39;0;0.0;0;0.0
12015;Argelita;2;1587.3;1;793.65;0;0.0
12016;Artana;578;29565.22;196;10025.58;1;51.15
3019;Aspe;3226;15506.63;607;2917.71;19;91.33
46003;Atzenetad'Albaida;191;16437.18;57;4905.34;1;86.06
12001;AtzenetadelMaestrat;284;21779.14;27;2070.55;3;230.06
46044;Ayora;1309;24777.59;220;4164.3;12;227.14
12017;Ayódar;27;17647.06;5;3267.97;0;0.0
12018;Azuébar;35;11290.32;4;1290.32;1;322.58
12002;Aín;5;4065.04;1;813.01;0;0.0
3020;Balones;18;14062.5;1;781.25;0;0.0
3021;BanyeresdeMariola;2067;29153.74;473;6671.37;19;267.98
12020;Barracas;28;16666.67;0;0.0;1;595.24
46046;Barx;223;17114.35;40;3069.84;14;1074.44
46045;Barxeta;311;19609.08;64;4035.31;3;189.16
12022;Bejís;22;5929.92;4;1078.17;0;0.0
46048;Bellreguard;1727;37397.14;519;11238.63;17;368.12
46049;Bellús;19;6354.52;2;668.9;0;0.0
12024;Benafer;4;2439.02;2;1219.51;0;0.0
12025;Benafigos;2;1449.28;0;0.0;0;0.0
46051;Benaguasil;1975;17546.2;383;3402.63;10;88.84
46050;Benagéber;22;12222.22;2;1111.11;0;0.0
12026;Benasal;142;13358.42;11;1034.81;3;282.22
3022;Benasau;6;3846.15;0;0.0;0;0.0
46052;Benavites;93;14576.8;6;940.44;2;313.48
3023;Beneixama;282;16686.39;105;6213.02;2;118.34
46053;Beneixida;47;7496.01;6;956.94;0;0.0
3024;Benejúzar;922;16964.12;189;3477.46;11;202.39
46054;Benetússer;2895;19300.0;283;1886.67;27;180.0
3025;Benferri;224;11399.49;30;1526.72;3;152.67
3026;Beniarbeig;148;6855.03;24;1111.63;0;0.0
3027;Beniardá;4;2000.0;0;0.0;0;0.0
46055;Beniarjó;355;20090.55;76;4301.08;2;113.19
3028;Beniarrés;221;20109.19;49;4458.6;2;181.98
46056;Beniatjar;35;15981.74;15;6849.32;1;456.62
12027;Benicarló;5611;20505.79;1422;5196.8;45;164.46
12028;Benicasim/Benicàssim;4113;22397.08;967;5265.74;19;103.46
46057;Benicolet;103;17944.25;4;696.86;2;348.43
46904;BeniculldeXúquer;95;9064.89;10;954.2;0;0.0
3030;Benidoleig;55;5102.04;4;371.06;0;0.0
3031;Benidorm;13769;19544.36;2140;3037.62;194;275.37
46059;BenifairódelaValldigna;207;13286.26;42;2695.76;0;0.0
46058;BenifairódelesValls;275;12426.57;53;2394.94;2;90.38
46060;Benifaió;2562;21369.59;282;2352.16;24;200.18
3032;Benifallim;6;5769.23;0;0.0;0;0.0
3033;Benifato;8;5882.35;2;1470.59;0;0.0
46061;Beniflá;1;217.39;0;0.0;0;0.0
3029;Benigembla;35;7900.68;6;1354.4;0;0.0
46062;Benigánim;1879;32514.28;316;5468.07;15;259.56
3034;Benijófar;400;12146.98;47;1427.27;4;121.47
3035;Benilloba;190;26170.8;59;8126.72;1;137.74
3036;Benillup;8;8000.0;1;1000.0;0;0.0
3037;Benimantell;109;21931.59;24;4828.97;3;603.62
3038;Benimarfull;29;7323.23;8;2020.2;0;0.0
3039;Benimassot;7;6796.12;1;970.87;0;0.0
3040;Benimeli;31;7226.11;4;932.4;0;0.0
46063;Benimodo;160;7042.25;25;1100.35;1;44.01
46064;Benimuslem;40;5997.0;7;1049.48;0;0.0
46065;Beniparrell;310;15384.62;63;3126.55;2;99.26
46066;Benirredrà;493;31704.18;100;6430.87;17;1093.25
46067;Benisanó;321;14011.35;27;1178.52;1;43.65
3041;Benissa;2293;20313.61;548;4854.71;30;265.77
46068;Benissoda;44;10185.19;4;925.93;0;0.0
46069;Benisuera;20;10810.81;12;6486.49;0;0.0
3042;Benitachell/PobleNoudeBenitatxell(el);266;5974.84;76;1707.1;4;89.85
12029;Benlloch;169;16125.95;32;3053.44;2;190.84
12021;Betxí;1215;21626.91;261;4645.78;1;17.8
3043;Biar;1009;27606.02;275;7523.94;7;191.52
46071;Bicorp;79;14933.84;10;1890.36;0;0.0
3044;Bigastro;1178;17050.22;166;2402.66;10;144.74
46072;Bocairent;704;16996.62;129;3114.44;7;169.0
46073;Bolbaite;274;20694.86;47;3549.85;4;302.11
3045;Bolulla;19;4556.35;2;479.62;0;0.0
46074;BonrepòsiMirambell;543;14526.48;80;2140.18;4;107.01
12032;Borriana/Burriana;6602;18834.87;1943;5543.19;62;176.88
12031;Borriol;1002;18565.87;307;5688.35;7;129.7
46075;Bufali;4;2564.1;2;1282.05;0;0.0
46076;Bugarra;84;11366.71;7;947.23;0;0.0
46078;Burjassot;7118;18425.14;997;2580.76;49;126.84
3046;Busot;227;7382.11;39;1268.29;1;32.52
46077;Buñol;1809;19046.11;240;2526.85;17;178.99
46047;Bèlgida;67;9867.45;16;2356.41;3;441.83
46070;Bétera;4973;20212.16;711;2889.77;43;174.77
12033;Cabanes;301;10107.45;57;1914.04;19;638.01
46079;Calles;28;7887.32;5;1408.45;1;281.69
3048;Callosad'EnSarrià;1454;19329.97;312;4147.83;18;239.3
3049;CallosadeSegura;3278;17138.08;500;2614.11;24;125.48
3047;Calp;3847;16492.33;901;3862.64;43;184.34
3050;Campello(el);5116;17684.06;1204;4161.77;84;290.36
3051;CampodeMirra/CampdeMirra(el);2;479.62;0;0.0;0;0.0
46080;Camporrobles;193;16110.18;16;1335.56;0;0.0
46081;Canals;2785;20605.21;607;4490.97;14;103.58
46082;Canetd'EnBerenguer;785;11603.84;66;975.61;23;339.99
12036;CanetloRoig;73;10798.82;5;739.64;0;0.0
46083;Carcaixent;3478;17018.99;738;3611.27;37;181.05
46085;Carlet;3202;20343.07;347;2204.57;26;165.18
46086;Carrícola;8;8080.81;0;0.0;0;0.0
46087;CasasAltas;7;5343.51;1;763.36;1;763.36
46088;CasasBajas;11;6748.47;2;1226.99;0;0.0
46089;Casinos;229;8237.41;50;1798.56;3;107.91
3053;Castalla;2002;19137.75;494;4722.3;26;248.54
12037;CastelldeCabres;0;0.0;0;0.0;0;0.0
3054;CastelldeCastells;32;7322.65;13;2974.83;1;228.83
3075;CastelldeGuadalest(el);0;0.0;0;0.0;0;0.0
12038;Castellfort;3;1675.98;1;558.66;0;0.0
12039;Castellnovo;75;8169.93;13;1416.12;1;108.93
46091;CastellonetdelaConquesta;8;5673.76;0;0.0;1;709.22
46090;CastellódeRugat;656;28546.56;178;7745.87;0;0.0
12040;CastellóndelaPlana/CastellódelaPlana;32297;18533.37;7941;4556.88;276;158.38
46092;Castielfabib;10;3246.75;1;324.68;0;0.0
12041;CastillodeVillamalefa;14;13861.39;5;4950.5;0;0.0
46093;Catadau;380;13552.07;49;1747.5;5;178.32
46094;Catarroja;4744;16582.77;693;2422.4;40;139.82
3055;Catral;942;10586.65;145;1629.58;9;101.15
12042;Catí;74;10364.15;25;3501.4;2;280.11
46095;CaudetedelasFuentes;161;22644.16;14;1969.06;3;421.94
12043;Caudiel;44;6676.78;5;758.73;4;606.98
3052;Cañada;237;19619.21;83;6870.86;2;165.56
46096;Cerdà;13;3927.49;0;0.0;0;0.0
12044;CerveradelMaestre;41;7360.86;7;1256.73;0;0.0
46107;Chella;687;27791.26;112;4530.74;6;242.72
46106;Chelva;409;26714.57;128;8360.55;2;130.63
46108;Chera;81;17270.79;10;2132.2;0;0.0
12052;Chert/Xert;77;11191.86;9;1308.14;2;290.7
46109;Cheste;1777;20343.45;478;5472.24;19;217.52
12053;Chilches/Xilxes;254;9358.88;26;958.0;1;36.85
46111;Chiva;2369;15369.14;362;2348.51;28;181.65
12055;Chodos/Xodos;1;943.4;0;0.0;0;0.0
46112;Chulilla;49;7401.81;8;1208.46;1;151.06
12056;Chóvar;21;7291.67;7;2430.56;0;0.0
12045;Cinctorres;93;23250.0;21;5250.0;2;500.0
12046;Cirat;15;7281.55;2;970.87;0;0.0
3056;Cocentaina;1956;16979.17;421;3654.51;36;312.5
46097;Cofrentes;200;17809.44;20;1780.94;3;267.14
3057;Confrides;0;0.0;0;0.0;0;0.0
46098;Corbera;378;12240.93;45;1457.25;5;161.92
12048;CortesdeArenoso;10;3333.33;2;666.67;0;0.0
46099;CortesdePallás;84;10894.94;13;1686.12;1;129.7
12049;Costur;22;4247.1;8;1544.4;1;193.05
46100;Cotes;41;12312.31;6;1801.8;0;0.0
12050;CovesdeVinromà(les);268;14839.42;44;2436.32;1;55.37
3058;Cox;1005;13606.82;136;1841.32;14;189.55
3059;Crevillent;3678;12452.6;550;1862.13;36;121.89
12051;Culla;26;5405.41;1;207.9;0;0.0
46105;Cullera;3694;16402.47;731;3245.86;39;173.17
12034;Càlig;197;10045.89;43;2192.76;1;50.99
46084;Càrcer;718;39299.4;110;6020.8;7;383.14
46113;Daimús;681;21307.88;120;3754.69;31;969.96
3061;DayaNueva;295;17022.5;11;634.74;5;288.52
3062;DayaVieja;45;6155.95;3;410.4;1;136.8
3064;Dolores;1925;25561.01;320;4249.1;14;185.9
46114;Domeño;42;6240.71;4;594.35;1;148.59
46115;DosAguas;28;8562.69;9;2752.29;1;305.81
3063;Dénia;7703;17986.32;1393;3252.62;45;105.07
3065;Elche/Elx;45194;19250.74;7459;3177.22;294;125.23
3066;Elda;10998;20824.42;1969;3728.25;118;223.43
46116;Eliana(l');3829;20852.85;505;2750.25;35;190.61
46117;Emperador;58;8430.23;3;436.05;0;0.0
46118;Enguera;991;20745.24;153;3202.85;4;83.73
12057;Eslida;73;10068.97;22;3034.48;0;0.0
12058;Espadilla;7;10144.93;2;2898.55;0;0.0
46120;Estivella;378;26231.78;56;3886.19;6;416.38
46121;Estubeny;6;4800.0;0;0.0;0;0.0
3067;Facheca;5;4672.9;2;1869.16;0;0.0
3068;Famorca;2;4444.44;1;2222.22;0;0.0
12059;Fanzara;28;10256.41;9;3296.7;0;0.0
46122;Faura;653;18378.83;100;2814.52;3;84.44
46123;Favara;379;15135.78;78;3115.02;6;239.62
12060;Figueroles;28;5353.73;7;1338.43;0;0.0
3069;Finestrat;731;10291.43;140;1971.0;5;70.39
46126;Foios;1427;19149.22;302;4052.6;7;93.93
3077;FondódelesNeus(el)/HondóndelasNieves;138;5295.47;33;1266.31;1;38.37
46127;Fontd'EnCarròs(la);563;14902.06;128;3388.04;4;105.88
46128;FontdelaFiguera(la);446;22002.96;112;5525.41;1;49.33
46124;FontanarsdelsAlforins;202;21063.61;16;1668.4;2;208.55
12061;Forcall;183;40131.58;24;5263.16;3;657.89
3070;FormenteradelSegura;478;11199.63;89;2085.29;9;210.87
46125;Fortaleny;113;11078.43;5;490.2;3;294.12
12063;FuentelaReina;3;5882.35;0;0.0;0;0.0
46129;Fuenterrobles;109;15706.05;8;1152.74;1;144.09
12064;FuentesdeAyódar;1;1123.6;0;0.0;0;0.0
3072;Gaianes;48;10020.88;7;1461.38;0;0.0
12065;Gaibiel;24;13259.67;2;1104.97;0;0.0
46131;Gandia;14903;19661.47;3415;4505.4;76;100.27
3071;GatadeGorgos;1032;16530.51;319;5109.72;3;48.05
46130;Gavarda;112;10748.56;26;2495.2;0;0.0
12067;Geldo;53;8372.83;17;2685.62;1;157.98
46132;Genovés;603;21706.26;119;4283.66;1;36.0
46133;Gestalgar;66;12043.8;10;1824.82;0;0.0
46134;Gilet;323;9488.84;30;881.32;2;58.75
46135;Godella;2942;22405.0;400;3046.23;17;129.46
46136;Godelleta;239;6668.53;76;2120.54;2;55.8
3073;Gorga;34;14107.88;6;2489.63;0;0.0
46137;GranjadelaCostera(la);22;7457.63;3;1016.95;0;0.0
