CodMunicipio;Municipi;CasosPCR+;IncidènciaacumuladaPCR+;CasosPCR+14dies;IncidènciaacumuladaPCR+14;Defuncions;Taxadedefunció
46001;Ademuz;246;23722.28;12;1157.18;1;96.43
46002;Ador;338;19537.57;62;3583.82;4;231.21
03001;Adsubia;25;4091.65;3;491.0;1;163.67
03002;Agost;476;9929.08;56;1168.13;11;229.45
03003;Agres;41;7269.5;0;0.0;1;177.3
46004;Agullent;163;6825.8;37;1549.41;3;125.63
46042;AielodeMalferit;509;11005.41;51;1102.7;5;108.11
46043;AielodeRugat;6;3750.0;1;625.0;0;0.0
03004;Aigües;42;4259.63;5;507.1;0;0.0
46005;Alaquàs;3703;12463.4;554;1864.63;58;195.21
46006;Albaida;965;16317.21;152;2570.17;15;253.64
46007;Albal;1878;11328.95;292;1761.48;12;72.39
46008;AlbalatdelaRibera;334;10042.09;42;1262.78;3;90.2
46009;AlbalatdelsSorells;427;10579.78;106;2626.36;2;49.55
46010;AlbalatdelsTarongers;107;8857.62;13;1076.16;2;165.56
03005;Albatera;1590;12746.51;220;1763.67;14;112.23
46011;Alberic;1561;14839.81;168;1597.11;11;104.57
12003;Albocàsser;209;17033.41;10;815.0;2;163.0
46012;Alborache;73;5939.79;3;244.1;10;813.67
46013;Alboraya;3463;13997.01;470;1899.68;45;181.88
46014;Albuixech;461;11105.76;60;1445.43;10;240.91
03006;Alcalalí;51;3917.05;13;998.46;0;0.0
12004;AlcalàdeXivert;863;13000.9;80;1205.18;2;30.13
03007;AlcocerdePlanes;11;4867.26;3;1327.43;1;442.48
03008;Alcoleja;27;15254.24;0;0.0;0;0.0
12005;Alcora(l');1443;13852.36;171;1641.55;16;153.6
03009;Alcoy/Alcoi;9226;15544.02;1295;2181.82;236;397.61
46018;Alcublas;12;1963.99;1;163.67;0;0.0
12006;AlcudiadeVeo;11;5851.06;2;1063.83;1;531.91
46016;AlcànteradeXúquer;105;7829.98;8;596.57;3;223.71
46015;Alcàsser;1305;12799.14;120;1176.93;19;186.35
46019;Alcúdia(l');1737;14347.07;202;1668.46;17;140.41
46020;AlcúdiadeCrespins(l');754;14746.72;99;1936.24;4;78.23
46021;Aldaia;4383;13610.11;677;2102.22;44;136.63
46022;Alfafar;3223;15064.27;524;2449.17;31;144.89
03010;Alfafara;56;13793.1;1;246.31;0;0.0
46024;AlfaradelaBaronía;59;10369.07;15;2636.2;3;527.24
46025;AlfaradelPatriarca;191;5819.62;19;578.92;2;60.94
46026;Alfarp;113;7192.87;20;1273.07;3;190.96
46027;Alfarrasí;151;12387.2;13;1066.45;1;82.03
46023;Alfauir;20;4454.34;1;222.72;0;0.0
12007;Alfondeguilla;58;6728.54;12;1392.11;0;0.0
03011;AlfàsdelPi(l');2301;11480.89;204;1017.86;28;139.71
46028;AlgardePalancia;31;6313.65;10;2036.66;0;0.0
46029;Algemesí;4224;15399.2;698;2544.66;55;200.51
46030;AlgimiadeAlfara;98;9306.74;8;759.73;8;759.73
12008;AlgimiadeAlmonacid;10;3816.79;0;0.0;0;0.0
46031;Alginet;1886;13639.98;320;2314.31;10;72.32
03012;Algorfa;214;6848.0;15;480.0;2;64.0
03013;Algueña;109;8220.21;19;1432.88;0;0.0
03014;Alicante/Alacant;42977;12734.61;4790;1419.33;517;153.19
12009;Almazora/Almassora;3347;12515.89;487;1821.11;21;78.53
12010;Almedíjar;8;3278.69;1;409.84;0;0.0
12011;Almenara;772;12676.52;129;2118.23;15;246.31
46033;Almiserà;4;1509.43;0;0.0;0;0.0
46034;Almoines;263;10617.68;34;1372.63;1;40.37
03015;Almoradí;3057;14414.37;244;1150.51;29;136.74
03016;Almudaina;2;1834.86;0;0.0;0;0.0
46035;Almussafes;906;10090.21;195;2171.73;6;66.82
46032;Almàssera;1205;16200.59;173;2325.89;9;121.0
46036;Alpuente;23;3622.05;0;0.0;0;0.0
03017;Alqueriad'Asnar(l');58;11764.71;4;811.36;1;202.84
46037;AlqueriadelaComtessa(l');166;11096.26;19;1270.05;2;133.69
12901;AlqueríasdelNiñoPerdido;520;11648.75;66;1478.49;10;224.01
03018;Altea;2648;11738.63;364;1613.62;33;146.29
12012;Altura;321;8914.19;41;1138.57;1;27.77
46017;Alzira;5675;12628.51;512;1139.35;60;133.52
46038;Andilla;2;649.35;0;0.0;0;0.0
46039;Anna;399;15258.13;43;1644.36;20;764.82
46040;Antella;71;6136.56;13;1123.6;5;432.15
46041;ArasdelosOlmos;11;3064.07;2;557.1;0;0.0
