CodMunicipio;Municipi;CasosPCR+;IncidènciaacumuladaPCR+;CasosPCR+14dies;IncidènciaacumuladaPCR+14;Defuncions;Taxadedefunció
46001;Ademuz;250;24108.0;16;1542.91;1;96.43
46002;Ador;389;22485.55;107;6184.97;4;231.21
03001;Adsubia;26;4255.32;4;654.66;1;163.67
03002;Agost;497;10367.13;74;1543.6;11;229.45
03003;Agres;44;7801.42;3;531.91;1;177.3
46004;Agullent;168;7035.18;28;1172.53;3;125.63
46042;AielodeMalferit;529;11437.84;63;1362.16;5;108.11
46043;AielodeRugat;6;3750.0;1;625.0;0;0.0
03004;Aigües;47;4766.73;9;912.78;0;0.0
46005;Alaquàs;3919;13190.4;707;2379.59;58;195.21
46006;Albaida;994;16807.58;152;2570.17;16;270.54
46007;Albal;1942;11715.03;314;1894.19;12;72.39
46008;AlbalatdelaRibera;344;10342.75;42;1262.78;3;90.2
46009;AlbalatdelsSorells;435;10778.0;92;2279.48;2;49.55
46010;AlbalatdelsTarongers;113;9354.3;17;1407.28;2;165.56
03005;Albatera;1656;13275.61;272;2180.54;14;112.23
46011;Alberic;1611;15315.14;199;1891.81;11;104.57
12003;Albocàsser;210;17114.91;8;652.0;2;163.0
46012;Alborache;81;6590.72;11;895.04;10;813.67
46013;Alboraya;3525;14247.61;486;1964.35;45;181.88
46014;Albuixech;466;11226.21;55;1324.98;10;240.91
03006;Alcalalí;51;3917.05;13;998.46;0;0.0
12004;AlcalàdeXivert;938;14130.76;140;2109.07;2;30.13
03007;AlcocerdePlanes;14;6194.69;5;2212.39;1;442.48
03008;Alcoleja;27;15254.24;0;0.0;0;0.0
12005;Alcora(l');1505;14447.54;227;2179.13;16;153.6
03009;Alcoy/Alcoi;9728;16389.8;1644;2769.82;236;397.61
46018;Alcublas;13;2127.66;2;327.33;0;0.0
12006;AlcudiadeVeo;11;5851.06;2;1063.83;1;531.91
46016;AlcànteradeXúquer;108;8053.69;8;596.57;3;223.71
46015;Alcàsser;1329;13034.52;127;1245.59;19;186.35
46019;Alcúdia(l');1771;14627.9;213;1759.31;17;140.41
46020;AlcúdiadeCrespins(l');780;15255.23;119;2327.4;4;78.23
46021;Aldaia;4459;13846.11;694;2155.01;44;136.63
46022;Alfafar;3260;15237.2;480;2243.51;31;144.89
03010;Alfafara;56;13793.1;1;246.31;0;0.0
46024;AlfaradelaBaronía;59;10369.07;14;2460.46;3;527.24
46025;AlfaradelPatriarca;193;5880.56;17;517.98;2;60.94
46026;Alfarp;115;7320.18;19;1209.42;3;190.96
46027;Alfarrasí;156;12797.37;16;1312.55;1;82.03
46023;Alfauir;20;4454.34;0;0.0;0;0.0
12007;Alfondeguilla;58;6728.54;11;1276.1;0;0.0
03011;AlfàsdelPi(l');2362;11785.25;233;1162.56;29;144.7
46028;AlgardePalancia;31;6313.65;9;1832.99;0;0.0
46029;Algemesí;4298;15668.98;712;2595.7;55;200.51
46030;AlgimiadeAlfara;101;9591.64;9;854.7;8;759.73
12008;AlgimiadeAlmonacid;10;3816.79;0;0.0;0;0.0
46031;Alginet;1924;13914.8;294;2126.27;10;72.32
03012;Algorfa;218;6976.0;13;416.0;2;64.0
03013;Algueña;111;8371.04;21;1583.71;0;0.0
