CodMunicipio;Municipi;CasosPCR+;IncidènciaacumuladaPCR+;CasosPCR+14dies;IncidènciaacumuladaPCR+14;Defuncions;Taxadedefunció
46001;Ademuz;432;41658.63;70;6750.24;1;96.43
46002;Ador;845;48843.93;245;14161.85;5;289.02
3001;Adsubia;34;5564.65;4;654.66;1;163.67
3002;Agost;951;19837.3;210;4380.48;11;229.45
3003;Agres;67;11879.43;7;1241.13;1;177.3
46004;Agullent;309;12939.7;90;3768.84;3;125.63
46042;AielodeMalferit;817;17664.86;189;4086.49;6;129.73
46043;AielodeRugat;10;6250.0;3;1875.0;0;0.0
3004;Aigües;102;10344.83;23;2332.66;0;0.0
46005;Alaquàs;6469;21773.08;1471;4951.03;60;201.95
46006;Albaida;1682;28440.99;410;6932.7;16;270.54
46007;Albal;3163;19080.65;692;4174.46;12;72.39
46008;AlbalatdelaRibera;575;17288.03;134;4028.86;3;90.2
46009;AlbalatdelsSorells;721;17864.22;188;4658.08;2;49.55
46010;AlbalatdelsTarongers;152;12582.78;27;2235.1;2;165.56
3005;Albatera;2458;19704.99;402;3222.7;14;112.23
46011;Alberic;2759;26228.73;708;6730.68;11;104.57
12003;Albocàsser;492;40097.8;134;10920.95;3;244.5
46012;Alborache;160;13018.71;45;3661.51;10;813.67
46013;Alboraya;5305;21442.14;936;3783.19;45;181.88
46014;Albuixech;709;17080.22;131;3155.87;10;240.91
3006;Alcalalí;65;4992.32;11;844.85;0;0.0
12004;AlcalàdeXivert;1595;24028.32;373;5619.16;2;30.13
3007;AlcocerdePlanes;21;9292.04;2;884.96;1;442.48
3008;Alcoleja;38;21468.93;9;5084.75;0;0.0
12005;Alcora(l');2661;25544.78;549;5270.23;16;153.6
3009;Alcoy/Alcoi;15289;25759.01;3120;5256.6;239;402.67
46018;Alcublas;66;10801.96;22;3600.65;0;0.0
12006;AlcudiadeVeo;18;9574.47;5;2659.57;1;531.91
46016;AlcànteradeXúquer;169;12602.54;34;2535.42;3;223.71
46015;Alcàsser;2186;21439.78;460;4511.57;19;186.35
46019;Alcúdia(l');2831;23383.17;749;6186.5;18;148.67
46020;AlcúdiadeCrespins(l');1282;25073.34;231;4517.9;4;78.23
46021;Aldaia;7084;21997.27;1416;4396.97;45;139.73
46022;Alfafar;4620;21593.83;740;3458.75;35;163.59
3010;Alfafara;67;16502.46;7;1724.14;0;0.0
46024;AlfaradelaBaronía;87;15289.98;9;1581.72;3;527.24
46025;AlfaradelPatriarca;310;9445.46;73;2224.25;2;60.94
46026;Alfarp;204;12985.36;46;2928.07;3;190.96
46027;Alfarrasí;250;20508.61;50;4101.72;1;82.03
46023;Alfauir;43;9576.84;12;2672.61;0;0.0
12007;Alfondeguilla;103;11948.96;24;2784.22;0;0.0
3011;AlfàsdelPi(l');3495;17438.38;563;2809.1;29;144.7
46028;AlgardePalancia;47;9572.3;8;1629.33;0;0.0
