CodMunicipio;Municipi;CasosPCR+;IncidènciaacumuladaPCR+;CasosPCR+14dies;IncidènciaacumuladaPCR+14;Defuncions;Taxadedefunció
46001;Ademuz;396;38187.08;67;6460.95;1;96.43
46002;Ador;787;45491.33;246;14219.65;5;289.02
3001;Adsubia;32;5237.32;3;491.0;1;163.67
3002;Agost;917;19128.08;277;5778.06;11;229.45
3003;Agres;65;11524.82;15;2659.57;1;177.3
46004;Agullent;288;12060.3;97;4061.98;3;125.63
46042;AielodeMalferit;753;16281.08;171;3697.3;6;129.73
46043;AielodeRugat;10;6250.0;3;1875.0;0;0.0
3004;Aigües;97;9837.73;26;2636.92;0;0.0
46005;Alaquàs;5958;20053.18;1449;4876.98;60;201.95
46006;Albaida;1563;26428.81;421;7118.7;16;270.54
46007;Albal;2919;17608.73;718;4331.3;12;72.39
46008;AlbalatdelaRibera;536;16115.45;138;4149.13;3;90.2
46009;AlbalatdelsSorells;651;16129.83;161;3989.1;2;49.55
46010;AlbalatdelsTarongers;148;12251.66;26;2152.32;2;165.56
3005;Albatera;2284;18310.08;352;2821.87;14;112.23
46011;Alberic;2488;23652.44;582;5532.85;11;104.57
12003;Albocàsser;469;38223.31;197;16055.42;3;244.5
46012;Alborache;136;11065.91;40;3254.68;10;813.67
46013;Alboraya;4927;19914.31;786;3176.91;45;181.88
46014;Albuixech;652;15707.06;93;2240.42;10;240.91
3006;Alcalalí;59;4531.49;6;460.83;0;0.0
12004;AlcalàdeXivert;1529;23034.05;408;6146.43;2;30.13
3007;AlcocerdePlanes;21;9292.04;5;2212.39;1;442.48
3008;Alcoleja;34;19209.04;6;3389.83;0;0.0
12005;Alcora(l');2469;23701.64;560;5375.83;16;153.6
3009;Alcoy/Alcoi;14198;23920.88;3090;5206.05;238;400.98
46018;Alcublas;53;8674.3;24;3927.99;0;0.0
12006;AlcudiadeVeo;16;8510.64;3;1595.74;1;531.91
46016;AlcànteradeXúquer;164;12229.68;39;2908.28;3;223.71
46015;Alcàsser;2024;19850.92;446;4374.26;19;186.35
46019;Alcúdia(l');2648;21871.64;670;5533.99;18;148.67
46020;AlcúdiadeCrespins(l');1215;23762.96;302;5906.51;4;78.23
46021;Aldaia;6391;19845.36;1265;3928.08;45;139.73
46022;Alfafar;4255;19887.82;654;3056.79;34;158.92
3010;Alfafara;64;15763.55;7;1724.14;0;0.0
46024;AlfaradelaBaronía;84;14762.74;7;1230.23;3;527.24
